"SNR","outMy","outGt","outEp"
0,0.043,0.0496666666666667,0.0456666666666667
0,0.0363333333333333,0.0393333333333333,0.043
0,0.0473333333333333,0.0506666666666667,0.0423333333333333
0,0.0453333333333333,0.0463333333333333,0.0436666666666667
0,0.0433333333333333,0.0513333333333333,0.0406666666666667
0,0.0466666666666667,0.0606666666666667,0.044
0,0.0476666666666667,0.0586666666666667,0.035
0,0.0516666666666667,0.0523333333333333,0.0456666666666667
0,0.033,0.043,0.039
0,0.0486666666666667,0.0523333333333333,0.0423333333333333
0,0.0503333333333333,0.0506666666666667,0.0473333333333333
0,0.0426666666666667,0.0473333333333333,0.04
0,0.0473333333333333,0.042,0.052
0,0.043,0.0466666666666667,0.0416666666666667
0,0.0456666666666667,0.0456666666666667,0.0536666666666667
0,0.0436666666666667,0.048,0.0436666666666667
0,0.0403333333333333,0.0533333333333333,0.038
0,0.045,0.047,0.0426666666666667
0,0.039,0.0516666666666667,0.0366666666666667
0,0.039,0.049,0.034
0,0.047,0.045,0.044
0,0.041,0.047,0.0386666666666667
0,0.0503333333333333,0.0483333333333333,0.0463333333333333
0,0.0413333333333333,0.0496666666666667,0.0416666666666667
0,0.048,0.0486666666666667,0.042
0,0.044,0.0433333333333333,0.0443333333333333
0,0.0443333333333333,0.044,0.0446666666666667
0,0.0506666666666667,0.047,0.0486666666666667
0,0.0443333333333333,0.05,0.041
0,0.048,0.0543333333333333,0.044
0,0.0483333333333333,0.0476666666666667,0.0463333333333333
0,0.048,0.047,0.0476666666666667
0,0.0476666666666667,0.0453333333333333,0.051
0,0.04,0.0486666666666667,0.039
0,0.0536666666666667,0.0473333333333333,0.046
0,0.0453333333333333,0.0503333333333333,0.043
0,0.047,0.0483333333333333,0.0476666666666667
0,0.0413333333333333,0.0526666666666667,0.0436666666666667
0,0.0486666666666667,0.045,0.0476666666666667
0,0.0473333333333333,0.0523333333333333,0.0433333333333333
0,0.0426666666666667,0.0503333333333333,0.049
0,0.045,0.0503333333333333,0.0383333333333333
0,0.0463333333333333,0.0556666666666667,0.0453333333333333
0,0.0496666666666667,0.0543333333333333,0.044
0,0.0473333333333333,0.0506666666666667,0.041
0,0.0443333333333333,0.0506666666666667,0.044
0,0.0466666666666667,0.05,0.0496666666666667
0,0.047,0.0546666666666667,0.0473333333333333
0,0.0406666666666667,0.0463333333333333,0.0413333333333333
0,0.0443333333333333,0.05,0.0433333333333333
0,0.0553333333333333,0.0476666666666667,0.05
0,0.037,0.0533333333333333,0.0416666666666667
0,0.0433333333333333,0.0436666666666667,0.0413333333333333
0,0.0486666666666667,0.053,0.0446666666666667
